province_state,country_region,date,confirmed,deaths,recovered,active
Hong Kong,China,2022-03-15,647631,4568,,
Hong Kong,China,2022-06-10,1217510,9390,,
Hong Kong,China,2021-05-04,11790,210,11451,129
Hong Kong,China,2020-10-11,5182,105,4919,158
Hong Kong,China,2020-10-14,5201,105,4932,164
Hong Kong,China,2022-05-30,1212370,9378,,
Hong Kong,China,2020-08-09,4079,52,2847,1180
Hong Kong,China,2022-03-14,635675,4279,,
Beijing,China,2022-11-19,6578,10,,
Hong Kong,China,2022-11-19,2028945,10586,,
Hong Kong,China,2020-08-06,3849,46,2458,1345
Hong Kong,China,2020-12-05,6802,112,5511,1179
Hong Kong,China,2021-07-07,11945,212,11643,90
Hong Kong,China,2022-04-22,1200908,9227,,
Shanghai,China,2022-04-22,39645,43,,
Hong Kong,China,2020-12-08,7075,112,5696,1267
Hong Kong,China,2022-09-22,1731026,9934,,
Hong Kong,China,2021-02-07,10635,186,9887,562
Hong Kong,China,2021-03-15,11311,203,10769,339
Hong Kong,China,2021-04-23,11727,209,11325,193
Hong Kong,China,2021-09-23,12169,213,,
Hong Kong,China,2022-08-29,1522460,9668,,
Hong Kong,China,2021-08-15,12033,212,,
Hong Kong,China,2020-11-29,6238,109,5340,789
Hong Kong,China,2021-12-27,12598,213,,
Hong Kong,China,2022-11-03,1933080,10428,,
Hong Kong,China,2020-10-27,5308,105,5053,150
Hong Kong,China,2021-05-31,11841,210,11572,59
Hong Kong,China,2021-01-27,10282,175,9162,945
Hong Kong,China,2022-01-11,12809,213,,
Hong Kong,China,2022-08-14,1417022,9565,,
Hong Kong,China,2020-07-17,1655,10,1254,391
Hong Kong,China,2022-07-06,1259094,9406,,
Hong Kong,China,2021-12-12,12488,213,,
Hong Kong,China,2022-10-23,1875601,10326,,
Hong Kong,China,2021-11-04,12359,213,,
Hong Kong,China,2020-11-16,5466,108,5198,160
Hong Kong,China,2021-11-21,12401,213,,
Hong Kong,China,2022-10-22,1870066,10322,,
Hong Kong,China,2022-09-26,1749534,10128,,
Hong Kong,China,2022-05-18,1209397,9365,,
Shanghai,China,2022-05-18,62433,587,,
Hong Kong,China,2020-08-23,4682,77,4018,587
Hong Kong,China,2021-07-03,11939,211,11634,94
Hong Kong,China,2021-03-03,11046,200,10578,268
Hong Kong,China,2022-01-26,13262,213,,
Hong Kong,China,2022-08-16,1427080,9580,,
Hong Kong,China,2021-03-11,11150,203,10694,253
Hong Kong,China,2021-08-28,12100,212,,
Hong Kong,China,2022-04-08,1185727,8643,,
Hong Kong,China,2020-11-03,5345,105,5109,131
Hong Kong,China,2021-08-13,12030,212,,
Hong Kong,China,2022-05-03,1205083,9325,,
Shanghai,China,2022-05-03,59607,497,,
Hong Kong,China,2021-01-23,10009,168,8998,843
Hong Kong,China,2022-04-24,1201860,9249,,
Shanghai,China,2022-04-24,43782,94,,
Hong Kong,China,2021-07-18,11958,212,11682,64
Hong Kong,China,2021-03-18,11350,203,10824,323
Hong Kong,China,2020-12-31,8846,148,7813,885
Hong Kong,China,2020-10-31,5323,105,5089,129
Hong Kong,China,2020-08-03,3589,38,2037,1514
Hong Kong,China,2021-09-07,12129,212,,
Hong Kong,China,2021-02-08,10667,186,9918,563
Hong Kong,China,2022-07-30,1349360,9502,,
Hong Kong,China,2022-03-30,1150769,7706,,
Hong Kong,China,2021-02-09,10693,188,9976,529
Hong Kong,China,2021-05-07,11801,210,11473,118
Hong Kong,China,2020-11-23,5701,108,5267,326
Hong Kong,China,2022-02-05,14488,213,,
Hong Kong,China,2021-11-20,12399,213,,
Hong Kong,China,2022-07-22,1313478,9454,,
Hong Kong,China,2021-05-15,11821,210,11522,89
Hong Kong,China,2022-06-12,1219175,9390,,
Hong Kong,China,2021-01-15,9452,161,8684,607
Hong Kong,China,2021-10-10,12261,213,,
Hong Kong,China,2021-03-27,11445,205,11040,200
Hong Kong,China,2022-07-07,1262122,9407,,
Hong Kong,China,2021-11-05,12360,213,,
Hong Kong,China,2022-02-20,22468,288,,
Hong Kong,China,2022-05-20,1209931,9370,,
Shanghai,China,2022-05-20,62607,588,,
Hubei,China,2020-04-02,67802,3199,63471,1132
Hong Kong,China,2022-09-27,1753201,10134,,
Hong Kong,China,2021-08-25,12074,212,,
Hong Kong,China,2021-10-29,12342,213,,
Hong Kong,China,2020-07-26,2633,18,1495,1120
Henan,China,2022-12-01,7352,23,,
Hong Kong,China,2022-12-01,2128382,10762,,
Hong Kong,China,2020-11-07,5364,107,5139,118
Hong Kong,China,2022-02-23,28700,336,,
Hong Kong,China,2022-08-10,1397920,9554,,
Hong Kong,China,2022-10-27,1897693,10358,,
Hong Kong,China,2021-03-04,11055,201,10593,261
Hong Kong,China,2021-06-16,11881,210,11601,70
Hong Kong,China,2022-05-13,1207963,9359,,
Shanghai,China,2022-05-13,61938,575,,
Hong Kong,China,2020-10-08,5161,105,4890,166
Hong Kong,China,2020-10-05,5124,105,4864,155
Hubei,China,2020-04-12,67803,3219,64281,303
Hong Kong,China,2022-10-28,1903349,10365,,
Hong Kong,China,2020-12-14,7623,120,6266,1237
Hong Kong,China,2022-03-04,403080,1554,,
Hong Kong,China,2022-08-03,1366918,9524,,
Hong Kong,China,2021-09-06,12123,212,,
Hong Kong,China,2021-01-01,8888,148,7912,828
Hong Kong,China,2021-06-22,11896,210,11618,68
Beijing,China,2022-11-20,6735,12,,
Hong Kong,China,2022-11-20,2036681,10599,,
Hong Kong,China,2021-12-01,12439,213,,
Hong Kong,China,2022-05-07,1206319,9344,,
Shanghai,China,2022-05-07,60585,543,,
Hong Kong,China,2021-02-18,10820,197,10298,325
Hong Kong,China,2022-03-10,575623,3150,,
Hong Kong,China,2021-03-26,11439,205,11023,211
Hong Kong,China,2020-09-17,4993,102,4682,209
Hong Kong,China,2022-08-31,1540803,9690,,
Hong Kong,China,2021-09-12,12145,212,,
Hong Kong,China,2020-07-23,2249,15,1379,855
Hong Kong,China,2020-08-12,4243,63,3189,991
Hong Kong,China,2021-05-08,11806,210,11486,110
Hong Kong,China,2022-11-14,1992218,10536,,
Hong Kong,China,2022-07-23,1317743,9461,,
Hong Kong,China,2022-11-15,1998169,10549,,
Hong Kong,China,2020-12-28,8671,141,7526,1004
Hong Kong,China,2022-06-27,1239750,9398,,
Hubei,China,2020-04-11,67803,3219,64264,320
Hong Kong,China,2022-01-10,12792,213,,
Hong Kong,China,2021-05-30,11837,210,11572,55
Hong Kong,China,2022-09-10,1642941,9788,,
Hong Kong,China,2021-10-25,12327,213,,
Hong Kong,China,2022-02-19,22128,258,,
Unknown,China,2022-02-19,0,18,,
Hong Kong,China,2021-04-20,11703,209,11287,207
Hong Kong,China,2021-03-12,11210,203,10711,296
